Tamb,I,Tcool_in,mass_flowrate,eff_gain,Tp_no_cool,Tp_cool
21.3,126,21.08544780763768,0.004948979591836736,0.00320356859219680,298.017229451067,294.45228563618076
23.3,322,26.30389547775483,0.00959591836734694,0.00805492526168222,305.420789831265,296.4620119924542
25.3,526,20.155197278304552,0.004746938775510205,0.0129667616561861,312.864968911104,298.45215997355467
27.200000000000003,713,25.429913821871402,0.00959591836734694,0.0173001977859827,319.593268989022,300.36196791943604
28.9,863,27.716589966660063,0.01,0.0206725619385061,325.044553968365,302.06615181446966
30.5,949,25.838814335287942,0.00959591836734694,0.0225236850003907,328.697098576507,303.66192461111854
31.8,1011,21.49822180820721,0.005757142857142858,0.0238304421758980,331.438115874241,304.953433778815
32.7,993,24.520346648086687,0.007575510204081634,0.0233485352249267,331.807573976281,305.85674059725756
33.0,913,27.43048478432891,0.008787755102040816,0.0215208270033827,330.080261041762,306.1595871175228
32.800000000000004,782,23.66711520798769,0.002928571428571429,0.0185694981623424,326.586361558740,305.95063293399465
32.0,608,25.080211766110587,0.00333265306122449,0.0145949626884945,321.370762203983,305.1508064879249
30.700000000000003,406,23.0466314213748,0.0001,0.0109290920445618,314.834547811011,303.84527028831917
28.700000000000003,199,30.61085241124945,0.007979591836734695,0.00491317380000200,307.324837262960,301.85751807833134
18.7,141,24.917129514371457,0.01,0.00360110650426469,295.873893650220,291.8637753121485
21.4,353,29.4064032271864,0.01,0.00886751394283059,304.433038616169,294.5713564574682
24.4,570,30.1250612259564,0.01,0.0140446236111894,313.185997799092,297.57197156443686
27.1,769,23.098563952395033,0.008585714285714287,0.0186204160938311,320.957221851713,300.2592730811567
29.5,925,20.76530099799519,0.00636326530612245,0.0220622276550043,327.174919814652,302.65434169440914
31.4,1021,21.860940812882276,0.006767346938775511,0.0240860259684171,331.324541886037,304.55496976549375
33.0,1071,24.23455866749332,0.007979591836734695,0.0250661342149379,334.016829167816,306.15736860934436
34.1,1052,25.641163862318553,0.007979591836734695,0.0245491297396769,334.542544824594,307.25750038436234
34.6,968,27.748583480162683,0.008383673469387756,0.0226353293255474,332.917351171525,307.7585205760721
34.5,830,24.222587897124324,0.0003020408163265306,0.0195602627787882,329.375614591965,307.64965735388705
33.800000000000004,646,23.299902063805053,0.0001,0.0161476590934993,324.046760943417,306.94538845274565
32.300000000000004,433,25.96809647026918,0.0001,0.0107489834823324,317.085452550284,305.4481356037048
29.700000000000003,214,20.69095297215221,0.0001,0.00885186679203795,308.713075729709,302.8388643523396
19.6,140,27.019574445537394,0.01,0.00356295175978794,296.733567295235,292.7658431176929
22.1,352,21.59118257248115,0.007575510204081634,0.00883605129373951,305.082329653256,295.2565426026385
24.200000000000003,570,23.33626663473075,0.009191836734693879,0.0140645785034106,312.996592767948,297.36052542116477
26.1,770,28.99635227774084,0.01,0.0186963354261980,320.053872028618,299.2712771106206
27.700000000000003,932,26.356415222840383,0.01,0.0223457745018406,325.704856549111,300.86732932484375
29.200000000000003,1041,27.65856855152319,0.01,0.0247068071245564,329.830182119639,302.3692853145768
30.3,1092,25.529433247463828,0.01,0.0257640586202883,332.100372308682,303.4647516194733
31.0,1072,22.767970993753472,0.008181632653061224,0.0252607100768639,332.234197001133,304.1583163585564
31.3,983,24.2162412220066,0.008383673469387756,0.0232339620645153,330.282394732786,304.45843341928014
31.3,809,23.058293372044254,0.005353061224489797,0.0192817183932673,325.882751051484,304.4527507491718
30.9,642,29.137217873499914,0.008989795918367348,0.0154317657510647,321.215642379935,304.06048264384646
30.0,418,25.98337090672435,0.004544897959183674,0.0101910324096655,314.480142490257,303.15184125851016
27.5,217,24.4930408521433,0.0001,0.00543670156132303,306.639565008313,300.6493545550261
22.3,144,24.87169295601298,0.007979591836734695,0.00363951269041596,299.509642691410,295.4575057046127
26.0,355,23.245370255512174,0.005353061224489797,0.00879841989619193,308.934552718013,299.15270444130596
28.9,572,22.876327139124495,0.004342857142857144,0.0138997745657055,317.500431106031,302.05160370050965
30.8,767,25.753235745588754,0.007979591836734695,0.0183415112055584,324.345083529101,303.9574149266499
32.4,918,27.025205426008824,0.008989795918367348,0.0216782213689224,329.655646269597,305.5600308793037
33.6,1001,21.030659415634858,0.0001,0.0234981541854566,332.825790616692,306.7492835578055
34.6,1054,26.112197660788006,0.007979591836734695,0.0245509936303067,335.044605637804,307.75749226006155
35.300000000000004,1037,22.3509214780015,0.0001,0.0241501056233602,335.260262976946,308.44938340310097
35.7,956,20.082966358854897,0.0003020408163265306,0.0236129348465010,333.624288770863,308.84303965013214
35.7,818,23.118167084048583,0.0003020408163265306,0.0198307705879737,330.184153403045,308.84540090575274
35.2,636,24.638531095774074,0.0003020408163265306,0.0158495819579540,325.108050117252,308.34507085738244
34.4,426,27.959941587507878,0.0001,0.0105855685888154,318.917721626136,307.54780002895666
32.0,210,22.745116431540165,0.0001,0.00889834888693408,310.858932170074,305.1383528894149
25.3,140,21.96009417691513,0.0001,0.00424467121285793,302.357704577102,298.44715160273046
29.200000000000003,352,27.472608813262983,0.00636326530612245,0.00862739730050014,311.947460708072,302.3544256797867
32.5,570,27.729195309028565,0.005959183673469389,0.0136776744353730,320.857775302556,305.65373800389943
35.1,767,26.076662677229848,0.002726530612244898,0.0180813562281090,328.343539639024,308.25050677001485
36.9,923,23.755025220900833,0.0003020408163265306,0.0216445694746651,333.905637993334,310.0466379073728
38.2,1016,26.09155607583843,0.0025244897959183677,0.0234230422915288,337.378352010801,311.35040070505903
39.2,1068,27.118260115397213,0.004140816326530613,0.0244743656381820,339.549843737144,312.35154419628327
39.8,1050,29.639572591905605,0.0065653061224489806,0.0240260963578127,339.657247545060,312.954502160766
40.0,967,23.576528030357814,0.0003020408163265306,0.0238826943682499,337.822692969680,313.1418707735111
39.900000000000006,829,23.151275426360574,0.0003020408163265306,0.0220489814668276,334.344208774803,313.03839420405853
39.400000000000006,647,22.02589101768801,0.0003020408163265306,0.0199189937679486,329.339803295497,312.5334679256707
38.400000000000006,436,28.790497274011415,0.0001,0.0121840101788591,323.016932578243,311.54250500822036
35.9,218,22.176564204261908,0.0001,0.0117538291396968,314.893980047176,309.0307588446248
26.5,142,28.13812956098039,0.0071714285714285725,0.00354007749677744,303.596960258223,299.65584170945175
30.3,352,24.710775377283493,0.0001,0.00902218711645211,313.011130832366,303.4477168503962
34.2,569,22.30180797225986,0.0003020408163265306,0.0156777182806552,322.442359118822,307.3413351119206
37.5,764,25.573811912907843,0.0003020408163265306,0.0185030849045791,330.500545427465,310.64540060405454
39.5,916,21.587197399475492,0.0003020408163265306,0.0239963617787861,336.117618418332,312.63820748563603
